"team_abbrev","image_url","2018-03-29","2018-03-30","2018-03-31","2018-04-01","2018-04-02","2018-04-03","2018-04-04","2018-04-05","2018-04-06","2018-04-07","2018-04-08","2018-04-09","2018-04-10","2018-04-11","2018-04-12","2018-04-13","2018-04-14","2018-04-15","2018-04-16","2018-04-17","2018-04-18","2018-04-19","2018-04-20","2018-04-21","2018-04-22","2018-04-23","2018-04-24","2018-04-25","2018-04-26","2018-04-27","2018-04-28","2018-04-29","2018-04-30","2018-05-01","2018-05-02","2018-05-03","2018-05-04","2018-05-05","2018-05-06","2018-05-07","2018-05-08","2018-05-09","2018-05-10","2018-05-11","2018-05-12","2018-05-13","2018-05-14","2018-05-15","2018-05-16","2018-05-17","2018-05-18","2018-05-19","2018-05-20","2018-05-21","2018-05-22","2018-05-23","2018-05-24","2018-05-25","2018-05-26","2018-05-27","2018-05-28","2018-05-29","2018-05-30","2018-05-31","2018-06-01","2018-06-02","2018-06-03","2018-06-04","2018-06-05","2018-06-06","2018-06-07","2018-06-08","2018-06-09","2018-06-10","2018-06-11","2018-06-12","2018-06-13","2018-06-14","2018-06-15","2018-06-16"
"ARI","http://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/ari.png&h=100&w=100","1.000","1.000",".667",".667",".750",".800",".833",".857",".857",".750",".778",".800",".727",".750",".750",".769",".786",".733",".733",".750",".706",".722",".684",".700",".714",".714",".727",".696",".708",".720",".731",".704",".714",".724",".700",".677",".656",".667",".676",".676",".686",".667",".649",".632",".615",".600",".585",".595",".581",".581",".568",".556",".543",".532",".521",".510",".510",".520",".510",".500",".509",".519",".509",".509",".518",".526",".534",".525",".533",".525",".525",".532",".540",".547",".554",".561",".552",".559",".565",".557"
"ATL","http://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/atl.png&h=100&w=100","1.000",".500",".667",".667",".500",".600",".667",".667",".714",".625",".667",".600",".545",".583",".583",".615",".571",".571",".600",".563",".588",".611",".579",".600",".600",".571",".545",".565",".583",".560",".577",".593",".593",".607",".621",".633",".613",".594",".576",".576",".588",".600",".611",".595",".605",".615",".625",".610",".619",".619",".605",".614",".622",".609",".617",".604",".604",".592",".580",".588",".585",".593",".582",".589",".596",".586",".593",".583",".590",".581",".581",".571",".578",".569",".569",".576",".582",".588",".580",".586"
"BAL","http://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/bal.png&h=100&w=100","1.000","1.000",".500",".333",".250",".200",".167",".286",".375",".333",".400",".364",".333",".385",".385",".357",".333",".313",".313",".294",".278",".263",".300",".286",".273",".261",".261",".250",".240",".269",".259",".286",".286",".276",".267",".258",".250",".242",".235",".235",".229",".250",".270",".289",".300",".317",".317",".317",".310",".302",".318",".311",".304",".319",".313",".306",".320",".333",".327",".321",".315",".309",".304",".304",".298",".293",".293",".293",".305",".317",".311",".306",".302",".297",".292",".288",".284",".284",".279",".275"
"BOS","http://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/bos.png&h=100&w=100",".000",".500",".667",".750",".800",".833",".833",".857",".857",".875",".889",".889",".900",".818",".833",".846",".857",".867",".867",".875",".882",".889",".895",".850",".810",".810",".773",".783",".792",".760",".731",".741",".750",".724",".733",".710",".719",".727",".735",".735",".714",".694",".703",".684",".692",".700",".683",".667",".674",".682",".667",".674",".681",".681",".688",".694",".680",".686",".692",".679",".685",".691",".696",".684",".672",".678",".683",".683",".689",".694",".683",".672",".677",".667",".672",".676",".681",".686",".676",".667"
"CHC","http://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/chc.png&h=100&w=100","1.000",".500",".667",".500",".400",".400",".400",".500",".429",".500",".556",".556",".500",".545",".500",".462",".500",".500",".500",".467",".467",".500",".529",".500",".526",".526",".550",".524",".545",".565",".583",".600",".615",".593",".571",".571",".552",".533",".516",".531",".545",".559",".559",".571",".583",".568",".553",".564",".550",".550",".561",".558",".568",".568",".556",".543",".543",".553",".542",".551",".560",".569",".558",".566",".574",".582",".589",".589",".579",".586",".593",".600",".607",".597",".603",".594",".585",".585",".591",".597"
"CIN","http://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/cin.png&h=100&w=100","-",".000",".000",".000",".250",".250",".250",".200",".167",".286",".250",".222",".200",".182",".167",".154",".143",".133",".188",".176",".167",".167",".158",".150",".143",".182",".217",".208",".200",".231",".222",".250",".241",".233",".226",".226",".250",".242",".235",".229",".250",".270",".289",".308",".325",".341",".333",".326",".341",".341",".333",".340",".333",".333",".347",".340",".353",".346",".358",".352",".345",".339",".351",".351",".362",".356",".350",".350",".344",".339",".349",".344",".338",".348",".348",".358",".368",".368",".362",".357"
"CLE","http://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/cle.png&h=100&w=100",".000",".000",".500",".333",".500",".400",".333",".333",".429",".375",".444",".500",".545",".583",".615",".571",".571",".571",".571",".600",".563",".563",".529",".556",".579",".600",".571",".591",".565",".583",".560",".538",".556",".536",".552",".548",".531",".515",".500",".500",".486",".500",".500",".486",".500",".513",".500",".488",".500",".500",".488",".500",".489",".489",".500",".511",".500",".490",".500",".510",".519",".528",".537",".545",".536",".526",".517",".517",".525",".533",".533",".541",".532",".540",".547",".538",".530",".537",".529",".522"
"COL","http://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/col.png&h=100&w=100",".000",".000",".333",".333",".500",".400",".500",".571",".500",".556",".500",".455",".417",".462",".500",".533",".500",".529",".556",".579",".550",".550",".524",".545",".522",".500",".520",".538",".538",".556",".536",".517",".500",".516",".531",".531",".545",".559",".571",".571",".583",".568",".553",".538",".550",".537",".548",".535",".535",".545",".556",".543",".532",".542",".531",".520",".520",".529",".519",".528",".537",".545",".536",".536",".526",".517",".508",".508",".517",".525",".516",".508",".500",".492",".492",".485",".493",".485",".493",".486"
"CWS","http://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/cws.png&h=100&w=100","1.000","1.000","1.000","1.000",".667",".500",".600",".500",".500",".429",".375",".333",".300",".364",".333",".333",".333",".333",".308",".286",".267",".267",".250",".235",".222",".263",".250",".238",".273",".304",".320",".308",".308",".296",".286",".310",".300",".290",".281",".281",".273",".265",".265",".257",".250",".270",".270",".263",".256",".275",".268",".286",".302",".295",".311",".326",".319",".313",".327",".320",".314",".308",".302",".302",".315",".309",".321",".321",".328",".339",".333",".344",".339",".349",".344",".354",".364",".358",".353",".348"
"DET","http://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/det.png&h=100&w=100","-",".000",".000",".000",".250",".200",".200",".333",".333",".429",".500",".444",".400",".364",".333",".308",".308",".308",".308",".357",".400",".438",".444",".474",".450",".450",".450",".455",".435",".417",".440",".423",".407",".429",".448",".433",".419",".438",".424",".412",".429",".417",".417",".417",".421",".436",".450",".463",".452",".465",".455",".444",".435",".426",".417",".429",".429",".440",".431",".442",".453",".444",".455",".464",".474",".483",".475",".475",".468",".460",".469",".462",".470",".463",".463",".456",".464",".471",".479",".486"
